User,Rating,Date,ReviewText
Vadodariya I,Rated 1 stars out of five stars,26-Jun-20,I am unable to use my wallet balance for the payment bill of LIC premium. I tried too many times but it does not showing the wallet balance options in payment page. Also unable to register my complaint in 24x7 !!!!! A very bad experience since more than 15 days!!!! What to do now???? Already emailed TWO Times but NO reply at all....A very very bad service ..!!!!! What a foolish reply below... The link shows below to place my problem to create a ticket for easy tracking is the the same app help!?
Koustav Mondal,Rated 1 stars out of five stars,23-Jun-20,What's the hell problem with the paytm payment bank??? For almost one month i can't add money to payment bank from any debit card.. the card is okay as if i make other digital payments it works fine but where is the problem with payment bank??? If the problem goes another one month i'll use another UPIs for online payment in lieu of paytm wallet and paytm payment bank !!
Pancham Patil,Rated 1 stars out of five stars,23-Jun-20,I am having issues using this app. I am not able to delink my account from the app. When I want to see the solution for the problem it is not listed in the options. Cannot even launch complaint. Useless app
Feroz Muhammed,Rated 1 stars out of five stars,04-Jun-20,"Google pay is the best. Don't use this app. Worst online Wallet, wish I could rate with no stars at all. There is no option to send money from your Paytm wallet to another Paytm user. Have to complete adhar verification. You have option to deposit money to your wallet from bank account but can't send it to someone on Paytm or even your own bank account. That's just ridiculously awful."
Amrit P,Rated 1 stars out of five stars,13-Jun-20,"Paytm is the worse app now to use...the are taking convenience fee for paying electricity bill, so I opted other option like Phone Pe, Payzapp, they are the best and not taking any convenience fee..Paytm also increased charges to trasfer money to bank..most of the vendors are abounding to take payment via Paytm.. They say pay by Google Pay or another option like Phone Pe...Paytm has no future now..You are going towards end..even I am also going to uninstall this FARZI APP..I have options now."
Ritzz K,Rated 1 stars out of five stars,21-Jun-20,"Paytm is the worst ever app. Whenever u make any payment & receive a refund , ur money doesn't go to your bank account. That money gets locked on the paytm voucher & not Paytm wallet so u can't use it for online shopping. U can only use it for making payment or at merchandized shops. Any transfer to ur bank account will cost u 3% of the amount. The customer service rep hangs up on u when u call them for help. If u email them, they give u a scripted answer repeatedly without reading the history."
s.mohith venkatasai,Rated 2 stars out of five stars,06-Jun-20,Hello paytm Thanks for your services!! But now the problem is we are unable to add the amount from master card and visa card i think you removed this feature.....If we can't get this feature again so Many users will suffer and they change and removes Paytm......So kindly think about this feature.....
saurabh rao,Rated 2 stars out of five stars,26-Jun-20,"Since last update i am not able to disable my debit card because there is no. Option for debit card like there was before and no specified option for bank where i can order passbook ,checkbook. And disable my debit card. Restore it to normal in next update."
Dipayan Dutta,Rated 1 stars out of five stars,13-Jun-20,I am trying to open Paytm bank account from last 3 days. After submitting OTP for online KYC process the screen coming back to previous screen.I have written to support desk many times .they replied with same questions again and again.but problem not yet solved. So I thinking to discontinue with Paytm. And the biggest concern is that support desk asking me to upgrade the latest version to 8.10.8 when my Paytm latest version is 8.11.0.So I asked them should I downgrade my version.
Destiny's g,Rated 1 stars out of five stars,07-Jun-20,Hilarious and stupid.... I can say all about...i m trying to reset my password as I have forgotten it... I hv been trying since last 3 days but I m unable to do so.... All the time it's showing error even after completing all the mandatory fills... This really very bad experience.... 😡😡
manbendra singh,Rated 1 stars out of five stars,27-Jun-20,The fast forward recharge feature of this app is pathetic. First issue is that feature is selected by default and second it deducts money even without users consent. I by mistake recharged my mobile for 600 even without wanting to recharge. Its a ₹600 loss for me. And you customer care is pathetic. They don't even listen to the problem.
amandeep manocha,Rated 1 stars out of five stars,19-Jun-20,Poor service. I just want to close my account so that i can open account on another number because KYc can't be done on two numbers. It's taking lot of time i Don't know why. They take more than 4 days for a single reply.... I am now going to uninstall paytm and will make payment through google pay.
Max MJ,Rated 1 stars out of five stars,12-Jun-20,"Where is the browse to scan image option? Are you people out of your mind? Last update restricted TeamViewer, now this update fixed TeamViewer but removed browse scan image option. pretty lame. Don't force everyone to follow your useless ideas."
Santhosh kumar,Rated 2 stars out of five stars,11-Jun-20,"Usually this is a very good app and after the recent update, I am finding very difficult to add money to the Paytm savings bank. This kind of worst response is not expected from Paytm. I request you to resolve this issue 🙏."
Amit Kumar Biswas,Rated 1 stars out of five stars,23-Jun-20,"Since the last month , the add money option from any debit card is removed . And that is the biggest problem for me as I don't have any RUpay debit card and now I'm not able to add money to my paytm bank . I request developers to Please resolve this problem in your latest upcoming update."
siraj raza,Rated 5 stars out of five stars,20-Jun-20,"It's an fantabulous application has introduced to the people I really appreciate to the team and management, initially it was not performing not reached customer expectations, but now it has rapid growth mean time to make happy to customers, such a wonderful job to the team, I really love to be a part of the Paytm family, thank you guys keep rocking Good luk everyone, Thanks & Regards, Siraj k"
Ashwani Buliwal,Rated 1 stars out of five stars,10-Jun-20,"nice n useful but having issues with the server (instant transfer) , and also the interface is not user friendly (they keep on alternating it) But rest about its wallet facility is unique and helpful. (new review) scanning new merchant barcode takes very long time to send money"
Sindhu V,Rated 1 stars out of five stars,23-Jun-20,Pakka waste app. Unable to do kyc. If I use aadhar it is asking login again and again even though I already logged in. If I use near by kyc center they are charging 90rs. If I request kyc appointment no one is coming. I don't know why these faultu app is there. Please take help from phonepe.they are very good when compared with paytm
Abhijit Roy,Rated 1 stars out of five stars,23-Jun-20,"Hi team From last few weeks the SHARE button doesn't work after making the payment or fund transfer. I am updating the App regularly and the issue is still there. I am using One Plus 6 handset. Kindly look into it and resolve the issue. Thanks, Abhijit"
swayam007 singhai,Rated 1 stars out of five stars,06-Jun-20,Worst transaction app till date . You made it complicated day by day .update by update There is a kyc without which you can not do translation.its so complicated now that I can't even find transaction history . Just using this app for payments to other paytm user from 6 months otherwise would have uninstalled it
Akshit Jain,Rated 1 stars out of five stars,12-Jun-20,"Unable to update KYC. Entered Aadhar Card number and Name. Entered the OTP. Yet it says ""something went wrong, try again later"". Have tried this several times on several occasions. Still unable to update the KYC. Kindly look into this."
RED BEAST GUY,Rated 1 stars out of five stars,10-Jun-20,It was good to use this app But now a days whenever i try to do any transaction it shows network connect error . Why so?? And not much interesting now a days Time to quit this app. Not help full at all now a days
Laxman Gupta,Rated 1 stars out of five stars,11-Jun-20,"While opening app there is one pop up saying that to save one password to secure it .I had saved it then after closing the app when i again open it ,it agin asking to create password. This is happening with me continuously. Plese help me this makes me very disappointing. I will rate it after you solve my problem"
mr. 89,Rated 1 stars out of five stars,12-Jun-20,"Very worst app ... No user friendly , if you are transferring to contact it takes long process ... If you are recieving through contact no. Than the amount will deposit in your wallet . If you want to transfer from wallet to bank than you have to pay some charges . Its better to install phone pe app"
Abhilash kumar,Rated 2 stars out of five stars,26-Jun-20,New update sucks for the ones using paytm payments bank ....it was nice and cool sitting on the home page which was made into banking and finance section taking a little extra time ...and now u need to open passbook and then view bank stats ...
Abhijit Poddar,Rated 1 stars out of five stars,21-Jun-20,Worst refund system. I made a payment with credit card through Paytm wallet but the refund amount not deposited to the original payment mode(credit card). The amount deposited in my Paytm wallet. All other wallets I used were always deposited the refund amount in original payment mode.
